Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales,Year,Month,Month_Name,Day_of_Week,Quarter,Customer_Name,Gender,Age,City,Loyalty_Status,Product_Name,Category,Brand,Price,Supplier,Return_Count,Total_Refund,Has_Return,Net_Sales
O000013,2025-04-21,C00469,P0031,Store,4,11416,45664,2025,4,April,Monday,2,Whitney Phillips,Male,48,Mumbai,Silver,Magazine Sport,Sports,Apple,11416,Perez-Osborne,0,0.0,Not Returned,45664.0
O000014,2025-02-25,C00776,P0184,Marketplace,3,11269,33807,2025,2,February,Tuesday,1,Christopher Price,Male,37,Hyderabad,Platinum,Support Hom,Home,Zara,11269,"Crawford, Rich and Ballard",0,0.0,Not Returned,33807.0
O000015,2025-03-05,C00791,P0012,Marketplace,5,12709,63545,2025,3,March,Wednesday,1,Kelly Williams,Male,29,Mumbai,Gold,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,0,0.0,Not Returned,63545.0
O000016,2026-05-05,C00517,P0118,Store,5,7691,38455,2026,5,May,Tuesday,2,Richard Dougherty,Female,51,Mumbai,Platinum,Suggest Sport,Sports,Sony,7691,"Hooper, Cole and Tucker",0,0.0,Not Returned,38455.0
O000017,2025-09-29,C00754,P0128,Online,1,4533,4533,2025,9,September,Monday,3,David Rojas,Female,54,Mumbai,Platinum,Watch Electronic,Electronics,Samsung,4533,"Cook, Butler and Jefferson",0,0.0,Not Returned,4533.0
O000018,2026-03-06,C00600,P0142,Marketplace,4,9138,36552,2026,3,March,Friday,1,Courtney Camacho,Female,59,Chennai,Silver,Take Sport,Sports,Samsung,9138,Marshall-Marquez,0,0.0,Not Returned,36552.0
O000019,2025-12-21,C00593,P0131,Store,2,11957,23914,2025,12,December,Sunday,4,Gabrielle Campbell,Male,28,Bangalore,Gold,Involve Footwea,Footwear,Apple,11957,Cannon PLC,0,0.0,Not Returned,23914.0
O000020,2025-02-23,C00397,P0188,Mobile App,2,1730,3460,2025,2,February,Sunday,1,Jennifer Guerra,Female,57,Bangalore,Silver,Free Sport,Sports,Puma,1730,Webb Group,0,0.0,Not Returned,3460.0
O000021,2025-08-03,C00624,P0130,Store,4,4662,18648,2025,8,August,Sunday,3,Tommy Taylor,Male,27,Mumbai,Gold,Build Beaut,Beauty,Samsung,4662,Berry and Sons,0,0.0,Not Returned,18648.0
O000022,2026-05-09,C00352,P0071,Mobile App,4,11204,44816,2026,5,May,Saturday,2,Mary Raymond,Male,59,Mumbai,Gold,Certain Footwea,Footwear,H&M,11204,Cooper-Ramos,0,0.0,Not Returned,44816.0
O000023,2025-03-12,C00423,P0116,Mobile App,2,4110,8220,2025,3,March,Wednesday,1,Jessica Rollins,Male,44,Chennai,Gold,Coach Clothin,Clothing,Puma,4110,"Rojas, Mason and Martinez",0,0.0,Not Returned,8220.0
O000024,2026-03-17,C00322,P0180,Store,5,6853,34265,2026,3,March,Tuesday,1,Michael Martinez,Female,29,Hyderabad,Platinum,Worker Beaut,Beauty,Sony,6853,Monroe Group,0,0.0,Not Returned,34265.0
O000025,2025-11-16,C00732,P0052,Mobile App,2,2027,4054,2025,11,November,Sunday,4,Shawn Stewart,Male,37,Hyderabad,Platinum,Series Sport,Sports,Puma,2027,"Wells, Campbell and Morgan",1,2027.0,Returned,2027.0
O000026,2026-04-17,C00689,P0176,Store,3,9283,27849,2026,4,April,Friday,2,Audrey Conway,Male,26,Hyderabad,Gold,Clearly Hom,Home,Sony,9283,Dunn-Callahan,0,0.0,Not Returned,27849.0
O000027,2025-09-15,C00556,P0182,Mobile App,2,7243,14486,2025,9,September,Monday,3,Robert Pacheco,Female,40,Mumbai,Gold,Style Footwea,Footwear,Apple,7243,Winters-Reid,0,0.0,Not Returned,14486.0
O000028,2026-01-25,C00361,P0182,Marketplace,1,7243,7243,2026,1,January,Sunday,1,Julie Atkinson,Female,30,Kolkata,Silver,Style Footwea,Footwear,Apple,7243,Winters-Reid,0,0.0,Not Returned,7243.0
O000029,2026-04-28,C00684,P0150,Marketplace,5,4078,20390,2026,4,April,Tuesday,2,Leslie Smith,Female,38,Mumbai,Gold,Believe Sport,Sports,Samsung,4078,Smith-Richmond,1,12234.0,Returned,8156.0
O000030,2025-05-27,C00899,P0173,Marketplace,5,11068,55340,2025,5,May,Tuesday,2,Kim Gibson,Female,29,Bangalore,Platinum,Plan Footwea,Footwear,Puma,11068,"Medina, Brown and Cervantes",0,0.0,Not Returned,55340.0
O000031,2025-02-24,C00026,P0004,Marketplace,5,9874,49370,2025,2,February,Monday,1,Jessica Wilson,Female,19,Hyderabad,Platinum,Entire Electronic,Electronics,Adidas,9874,Wall-Peters,0,0.0,Not Returned,49370.0
O000032,2025-12-10,C00058,P0038,Store,1,4240,4240,2025,12,December,Wednesday,4,Kyle Torres,Female,53,Mumbai,Gold,Appear Footwea,Footwear,Samsung,4240,Huerta Inc,0,0.0,Not Returned,4240.0
O000033,2025-05-27,C00700,P0069,Mobile App,2,3670,7340,2025,5,May,Tuesday,2,William Mitchell,Male,24,Kolkata,Gold,Glass Beaut,Beauty,H&M,3670,Burgess-Miranda,0,0.0,Not Returned,7340.0
O000034,2025-12-20,C00804,P0038,Mobile App,1,4240,4240,2025,12,December,Saturday,4,Cheryl Murray,Male,33,Hyderabad,Silver,Appear Footwea,Footwear,Samsung,4240,Huerta Inc,0,0.0,Not Returned,4240.0
O000035,2025-01-17,C00368,P0053,Marketplace,5,2791,13955,2025,1,January,Friday,1,Barbara Smith,Female,19,Mumbai,Platinum,Mouth Footwea,Footwear,H&M,2791,Jimenez LLC,0,0.0,Not Returned,13955.0
O000036,2026-03-21,C00692,P0027,Store,5,10180,50900,2026,3,March,Saturday,1,Timothy Ballard,Male,21,Bangalore,Platinum,Interest Footwea,Footwear,Adidas,10180,"Lynch, Collins and Fowler",0,0.0,Not Returned,50900.0
O000037,2025-07-19,C00244,P0191,Mobile App,5,7984,39920,2025,7,July,Saturday,3,Taylor Romero,Male,50,Chennai,Platinum,But Electronic,Electronics,Apple,7984,"Smith, Hughes and Gonzalez",0,0.0,Not Returned,39920.0
O000038,2026-04-20,C00391,P0178,Marketplace,1,11297,11297,2026,4,April,Monday,2,Leslie Scott,Female,47,Delhi,Gold,Dog Sport,Sports,H&M,11297,"Pham, Thompson and Dixon",0,0.0,Not Returned,11297.0
O000039,2026-05-10,C00566,P0107,Online,3,8438,25314,2026,5,May,Sunday,2,Stacey Bennett,Female,52,Chennai,Platinum,Interview Beaut,Beauty,Zara,8438,"Benson, Jimenez and Chang",1,25314.0,Returned,0.0
O000040,2025-04-14,C00636,P0004,Marketplace,3,9874,29622,2025,4,April,Monday,2,Erin Rice,Female,18,Hyderabad,Silver,Entire Electronic,Electronics,Adidas,9874,Wall-Peters,0,0.0,Not Returned,29622.0
O000041,2026-01-22,C00603,P0058,Store,3,2704,8112,2026,1,January,Thursday,1,Kevin Barnett,Female,38,Mumbai,Platinum,Nearly Sport,Sports,Apple,2704,Johnston-Holden,0,0.0,Not Returned,8112.0
O000042,2025-05-31,C00460,P0199,Store,2,14099,28198,2025,5,May,Saturday,2,Sherri Blair,Male,39,Mumbai,Gold,Or Beaut,Beauty,Apple,14099,Kim-Fields,0,0.0,Not Returned,28198.0
O000043,2025-04-06,C00986,P0175,Store,1,5544,5544,2025,4,April,Sunday,2,Tracy Stephens,Male,57,Bangalore,Gold,Center Footwea,Footwear,H&M,5544,"Blake, Rodriguez and Crawford",0,0.0,Not Returned,5544.0
O000044,2025-03-03,C00387,P0189,Online,5,3880,19400,2025,3,March,Monday,1,Haley White,Female,58,Chennai,Gold,Wrong Clothin,Clothing,Sony,3880,"Orozco, Farrell and Martinez",0,0.0,Not Returned,19400.0
O000045,2025-10-12,C00271,P0110,Store,3,9949,29847,2025,10,October,Sunday,4,Andrew Lee,Male,38,Chennai,Gold,As Clothin,Clothing,Adidas,9949,Anderson-Mitchell,0,0.0,Not Returned,29847.0
O000046,2026-03-10,C00262,P0042,Online,5,8548,42740,2026,3,March,Tuesday,1,Jessica Hobbs,Female,58,Mumbai,Silver,Sure Clothin,Clothing,Samsung,8548,Cunningham LLC,1,17096.0,Returned,25644.0
O000047,2025-12-30,C00960,P0085,Store,4,10996,43984,2025,12,December,Tuesday,4,Sharon Campbell,Male,31,Hyderabad,Platinum,Friend Electronic,Electronics,Adidas,10996,Barton PLC,0,0.0,Not Returned,43984.0
O000048,2026-04-21,C00331,P0011,Online,2,4752,9504,2026,4,April,Tuesday,2,Chad Smith,Male,22,Hyderabad,Gold,Try Hom,Home,Puma,4752,Hall PLC,0,0.0,Not Returned,9504.0
O000049,2026-03-08,C00678,P0199,Mobile App,5,14099,70495,2026,3,March,Sunday,1,Billy Golden,Female,22,Hyderabad,Silver,Or Beaut,Beauty,Apple,14099,Kim-Fields,0,0.0,Not Returned,70495.0
O000050,2025-10-09,C00367,P0126,Online,5,11142,55710,2025,10,October,Thursday,4,Robert Hernandez,Male,30,Delhi,Silver,Religious Sport,Sports,Nike,11142,"Harris, Grant and Blair",0,0.0,Not Returned,55710.0
O000051,2025-09-27,C00226,P0182,Store,3,7243,21729,2025,9,September,Saturday,3,Richard Taylor,Female,39,Mumbai,Silver,Style Footwea,Footwear,Apple,7243,Winters-Reid,0,0.0,Not Returned,21729.0
O000052,2026-02-07,C00518,P0134,Store,1,14062,14062,2026,2,February,Saturday,1,Amanda Stephens,Female,44,Delhi,Gold,Kid Hom,Home,Sony,14062,Buchanan-Beck,0,0.0,Not Returned,14062.0
O000053,2025-10-02,C00414,P0107,Online,5,8438,42190,2025,10,October,Thursday,4,Chad Rodriguez,Male,30,Chennai,Platinum,Interview Beaut,Beauty,Zara,8438,"Benson, Jimenez and Chang",1,33752.0,Returned,8438.0
O000054,2026-03-29,C00219,P0090,Mobile App,2,13316,26632,2026,3,March,Sunday,1,Christopher Gutierrez,Female,24,Chennai,Platinum,Choice Hom,Home,Puma,13316,"Beltran, Bailey and Young",0,0.0,Not Returned,26632.0
O000055,2025-05-31,C00224,P0085,Marketplace,3,10996,32988,2025,5,May,Saturday,2,Laura Peterson,Male,56,Hyderabad,Platinum,Friend Electronic,Electronics,Adidas,10996,Barton PLC,0,0.0,Not Returned,32988.0
O000056,2025-02-28,C00685,P0144,Mobile App,1,7241,7241,2025,2,February,Friday,1,Randy Mcbride,Male,54,Bangalore,Gold,Move Beaut,Beauty,Samsung,7241,"Garcia, Baker and Garcia",1,7241.0,Returned,0.0
O000057,2026-04-09,C00658,P0115,Store,2,4472,8944,2026,4,April,Thursday,2,Jennifer Meza,Female,20,Mumbai,Silver,Back Beaut,Beauty,Puma,4472,Fitzgerald-Davis,0,0.0,Not Returned,8944.0
O000058,2025-07-15,C00938,P0011,Online,3,4752,14256,2025,7,July,Tuesday,3,Joy Weaver,Male,46,Mumbai,Silver,Try Hom,Home,Puma,4752,Hall PLC,0,0.0,Not Returned,14256.0
O000059,2025-10-04,C00742,P0099,Mobile App,3,3702,11106,2025,10,October,Saturday,4,Troy Hayes,Female,28,Mumbai,Silver,Traditional Hom,Home,Zara,3702,"Soto, Robertson and Newman",0,0.0,Not Returned,11106.0
O000060,2026-02-25,C00789,P0007,Mobile App,5,9395,46975,2026,2,February,Wednesday,1,Sean Swanson,Female,43,Bangalore,Silver,Site Beaut,Beauty,Nike,9395,"Gonzales, Lynch and Griffith",0,0.0,Not Returned,46975.0
O000061,2025-08-17,C00499,P0132,Online,5,11463,57315,2025,8,August,Sunday,3,Zachary Jackson,Male,32,Kolkata,Silver,Lose Footwea,Footwear,Apple,11463,"Norman, Yates and Clark",0,0.0,Not Returned,57315.0
O000062,2025-06-14,C00527,P0076,Online,2,9841,19682,2025,6,June,Saturday,2,Christie Jones,Male,22,Delhi,Platinum,Onto Beaut,Beauty,Apple,9841,"Rodriguez, Richardson and Baker",0,0.0,Not Returned,19682.0
O000063,2026-05-13,C00980,P0025,Online,2,6265,12530,2026,5,May,Wednesday,2,Dr. Cody Manning MD,Male,25,Bangalore,Gold,Type Footwea,Footwear,Samsung,6265,Thomas Group,1,6265.0,Returned,6265.0
O000064,2025-04-18,C00687,P0161,Store,1,5953,5953,2025,4,April,Friday,2,Kimberly Torres,Female,19,Kolkata,Silver,Perform Electronic,Electronics,Sony,5953,"Mclean, Smith and Whitehead",0,0.0,Not Returned,5953.0
O000065,2026-03-04,C00107,P0176,Store,4,9283,37132,2026,3,March,Wednesday,1,Jeremiah Wiggins,Female,57,Bangalore,Platinum,Clearly Hom,Home,Sony,9283,Dunn-Callahan,0,0.0,Not Returned,37132.0
O000066,2025-11-28,C00837,P0138,Online,4,2847,11388,2025,11,November,Friday,4,William Roberts,Female,40,Chennai,Gold,In Clothin,Clothing,Sony,2847,Bush-Lambert,0,0.0,Not Returned,11388.0
O000067,2025-01-13,C00471,P0192,Mobile App,2,7661,15322,2025,1,January,Monday,1,Ricky Browning,Female,35,Mumbai,Gold,Suddenly Beaut,Beauty,Adidas,7661,Moss-Ware,0,0.0,Not Returned,15322.0
O000068,2025-02-07,C00056,P0010,Store,1,11638,11638,2025,2,February,Friday,1,Rachel Hayes,Female,60,Chennai,Gold,Son Electronic,Electronics,Samsung,11638,Cisneros and Sons,0,0.0,Not Returned,11638.0
O000069,2025-02-06,C00589,P0065,Store,5,13569,67845,2025,2,February,Thursday,1,Sue Gardner,Female,42,Kolkata,Platinum,Almost Sport,Sports,Zara,13569,Cisneros LLC,1,13569.0,Returned,54276.0
O000070,2025-07-18,C00462,P0067,Marketplace,4,9207,36828,2025,7,July,Friday,3,Amy Rosales,Female,30,Kolkata,Gold,Involve Sport,Sports,Zara,9207,Hudson Inc,0,0.0,Not Returned,36828.0
O000071,2025-01-09,C00399,P0111,Online,3,6815,20445,2025,1,January,Thursday,1,Robert Hoffman,Female,30,Delhi,Gold,Together Electronic,Electronics,Apple,6815,"Adams, Walton and Huff",0,0.0,Not Returned,20445.0
O000072,2025-11-25,C00738,P0137,Online,1,12834,12834,2025,11,November,Tuesday,4,Ryan Walton,Female,35,Chennai,Silver,Thousand Electronic,Electronics,Puma,12834,"Walters, Payne and Smith",1,12834.0,Returned,0.0
O000073,2025-01-24,C00718,P0194,Online,5,8299,41495,2025,1,January,Friday,1,Brittney Cummings,Female,26,Bangalore,Platinum,American Sport,Sports,H&M,8299,Harris-Smith,0,0.0,Not Returned,41495.0
O000074,2025-02-24,C00297,P0092,Mobile App,5,2496,12480,2025,2,February,Monday,1,Derek Williams,Male,37,Bangalore,Silver,Again Clothin,Clothing,Zara,2496,"Stephens, Murphy and Taylor",0,0.0,Not Returned,12480.0
O000075,2025-05-25,C00784,P0156,Marketplace,1,3844,3844,2025,5,May,Sunday,2,Jeremy Chan,Female,58,Hyderabad,Silver,Appear Electronic,Electronics,Zara,3844,"Strickland, Kelly and Lewis",0,0.0,Not Returned,3844.0
O000076,2026-02-25,C00677,P0098,Online,4,6858,27432,2026,2,February,Wednesday,1,Caroline Hayes,Female,58,Bangalore,Gold,Take Clothin,Clothing,Samsung,6858,Rivera-Noble,0,0.0,Not Returned,27432.0
O000077,2025-10-01,C00226,P0122,Store,2,5918,11836,2025,10,October,Wednesday,4,Richard Taylor,Female,39,Mumbai,Silver,Civil Footwea,Footwear,Samsung,5918,Jones Group,1,11836.0,Returned,0.0
O000078,2026-02-12,C00817,P0192,Mobile App,4,7661,30644,2026,2,February,Thursday,1,Kristin Shea,Male,25,Chennai,Gold,Suddenly Beaut,Beauty,Adidas,7661,Moss-Ware,0,0.0,Not Returned,30644.0
O000079,2025-06-02,C00694,P0163,Mobile App,2,652,1304,2025,6,June,Monday,2,David Taylor,Male,24,Kolkata,Silver,Everything Beaut,Beauty,Puma,652,"Cherry, Stark and Riley",0,0.0,Not Returned,1304.0
O000080,2026-03-24,C00569,P0003,Store,5,12266,61330,2026,3,March,Tuesday,1,Allen Sanchez,Female,22,Mumbai,Silver,North Clothin,Clothing,Samsung,12266,"Briggs, Johnson and Cantrell",0,0.0,Not Returned,61330.0
O000081,2025-01-03,C00587,P0032,Marketplace,1,3952,3952,2025,1,January,Friday,1,Megan Johnston,Female,53,Kolkata,Platinum,Military Footwea,Footwear,Nike,3952,Patton and Sons,0,0.0,Not Returned,3952.0
O000082,2026-04-30,C00088,P0138,Mobile App,5,2847,14235,2026,4,April,Thursday,2,Jesse Pham,Male,22,Kolkata,Silver,In Clothin,Clothing,Sony,2847,Bush-Lambert,0,0.0,Not Returned,14235.0
O000083,2025-04-19,C00423,P0054,Store,3,12030,36090,2025,4,April,Saturday,2,Jessica Rollins,Male,44,Chennai,Gold,Three Hom,Home,Nike,12030,Todd-Wagner,0,0.0,Not Returned,36090.0
O000084,2025-04-24,C00632,P0042,Mobile App,2,8548,17096,2025,4,April,Thursday,2,Holly Obrien,Female,32,Bangalore,Platinum,Sure Clothin,Clothing,Samsung,8548,Cunningham LLC,0,0.0,Not Returned,17096.0
O000085,2025-04-03,C00688,P0050,Online,1,11369,11369,2025,4,April,Thursday,2,Scott Wright,Female,47,Kolkata,Gold,Particularly Sport,Sports,Adidas,11369,"Brown, Harris and Lopez",1,11369.0,Returned,0.0
O000086,2025-08-25,C00661,P0193,Online,5,11969,59845,2025,8,August,Monday,3,Olivia Duncan,Male,35,Chennai,Gold,Respond Hom,Home,Apple,11969,"Jones, Harris and Boyd",0,0.0,Not Returned,59845.0
O000087,2025-05-09,C00101,P0075,Store,1,9838,9838,2025,5,May,Friday,2,Jonathan Burgess,Female,44,Hyderabad,Gold,Official Footwea,Footwear,Nike,9838,"Ross, Lane and Roth",0,0.0,Not Returned,9838.0
O000088,2025-09-07,C00975,P0186,Mobile App,5,10994,54970,2025,9,September,Sunday,3,Kenneth Johnson,Male,36,Mumbai,Platinum,Leg Sport,Sports,Samsung,10994,Cobb LLC,0,0.0,Not Returned,54970.0
O000089,2025-12-10,C00672,P0092,Store,2,2496,4992,2025,12,December,Wednesday,4,John Gonzalez,Female,50,Hyderabad,Silver,Again Clothin,Clothing,Zara,2496,"Stephens, Murphy and Taylor",0,0.0,Not Returned,4992.0
O000090,2025-11-14,C00072,P0026,Store,3,11180,33540,2025,11,November,Friday,4,Jerry Walker,Male,43,Bangalore,Silver,Relationship Footwea,Footwear,Apple,11180,"Villanueva, Clarke and Gray",0,0.0,Not Returned,33540.0
O000091,2025-08-19,C00337,P0082,Mobile App,4,9034,36136,2025,8,August,Tuesday,3,Mary Valdez,Female,25,Mumbai,Gold,Represent Hom,Home,Apple,9034,Arias-Cherry,0,0.0,Not Returned,36136.0
O000092,2025-03-20,C00580,P0178,Mobile App,5,11297,56485,2025,3,March,Thursday,1,Charles Castaneda,Male,23,Mumbai,Silver,Dog Sport,Sports,H&M,11297,"Pham, Thompson and Dixon",0,0.0,Not Returned,56485.0
O000093,2025-03-28,C00005,P0081,Mobile App,4,11160,44640,2025,3,March,Friday,1,Michelle Mendoza,Female,51,Bangalore,Platinum,None Clothin,Clothing,Sony,11160,Williams Group,0,0.0,Not Returned,44640.0
O000094,2025-12-31,C00758,P0064,Marketplace,2,1603,3206,2025,12,December,Wednesday,4,Jeremy Acosta,Male,32,Chennai,Gold,Carry Clothin,Clothing,Adidas,1603,Nguyen LLC,0,0.0,Not Returned,3206.0
O000095,2025-03-10,C00696,P0071,Mobile App,3,11204,33612,2025,3,March,Monday,1,Kimberly Doyle,Male,51,Hyderabad,Gold,Certain Footwea,Footwear,H&M,11204,Cooper-Ramos,0,0.0,Not Returned,33612.0
O000096,2025-08-17,C00368,P0123,Mobile App,4,6254,25016,2025,8,August,Sunday,3,Barbara Smith,Female,19,Mumbai,Platinum,Line Electronic,Electronics,Apple,6254,"Pittman, Newman and Knox",0,0.0,Not Returned,25016.0
O000097,2025-02-25,C00180,P0125,Online,5,10221,51105,2025,2,February,Tuesday,1,Mark Mckee,Male,44,Hyderabad,Silver,Avoid Beaut,Beauty,Sony,10221,Underwood-Mays,0,0.0,Not Returned,51105.0
O000098,2026-04-02,C00552,P0072,Store,2,7377,14754,2026,4,April,Thursday,2,Crystal Calderon,Male,19,Chennai,Platinum,Institution Sport,Sports,Puma,7377,Pearson-Craig,0,0.0,Not Returned,14754.0
O000099,2026-01-08,C00078,P0068,Online,1,8845,8845,2026,1,January,Thursday,1,Michael Hudson,Female,54,Chennai,Silver,Purpose Clothin,Clothing,Sony,8845,"Cruz, Brown and Johnson",0,0.0,Not Returned,8845.0
O000100,2026-02-21,C00596,P0130,Marketplace,1,4662,4662,2026,2,February,Saturday,1,Michael Aguirre,Female,56,Chennai,Silver,Build Beaut,Beauty,Samsung,4662,Berry and Sons,0,0.0,Not Returned,4662.0
O000101,2025-04-19,C00929,P0197,Online,5,3785,18925,2025,4,April,Saturday,2,Jeff Middleton,Female,55,Mumbai,Gold,Movement Electronic,Electronics,H&M,3785,Welch LLC,0,0.0,Not Returned,18925.0
O000102,2025-10-06,C00916,P0142,Marketplace,3,9138,27414,2025,10,October,Monday,4,Courtney Jennings,Female,30,Delhi,Platinum,Take Sport,Sports,Samsung,9138,Marshall-Marquez,0,0.0,Not Returned,27414.0
O000103,2025-07-07,C00402,P0168,Store,2,6511,13022,2025,7,July,Monday,3,Ricardo Skinner,Female,33,Delhi,Platinum,Deal Beaut,Beauty,Adidas,6511,"Leblanc, Kim and Oconnor",0,0.0,Not Returned,13022.0
O000104,2026-01-11,C00878,P0198,Mobile App,5,1022,5110,2026,1,January,Sunday,1,Sylvia Terry,Female,52,Mumbai,Gold,Data Clothin,Clothing,Zara,1022,Taylor LLC,0,0.0,Not Returned,5110.0
O000105,2025-09-14,C00523,P0035,Online,4,3683,14732,2025,9,September,Sunday,3,Michelle Campbell,Male,42,Delhi,Gold,Could Beaut,Beauty,Puma,3683,Williams PLC,0,0.0,Not Returned,14732.0
O000106,2025-09-15,C00011,P0102,Store,3,4873,14619,2025,9,September,Monday,3,Spencer Meadows,Female,39,Chennai,Gold,Author Footwea,Footwear,Zara,4873,Steele-Dominguez,0,0.0,Not Returned,14619.0
O000107,2026-01-23,C00527,P0158,Store,2,3852,7704,2026,1,January,Friday,1,Christie Jones,Male,22,Delhi,Platinum,Soon Footwea,Footwear,Apple,3852,"Kemp, Johnson and Dunn",1,3852.0,Returned,3852.0
O000108,2025-04-02,C00580,P0115,Store,2,4472,8944,2025,4,April,Wednesday,2,Charles Castaneda,Male,23,Mumbai,Silver,Back Beaut,Beauty,Puma,4472,Fitzgerald-Davis,0,0.0,Not Returned,8944.0
O000109,2026-04-26,C00368,P0189,Online,4,3880,15520,2026,4,April,Sunday,2,Barbara Smith,Female,19,Mumbai,Platinum,Wrong Clothin,Clothing,Sony,3880,"Orozco, Farrell and Martinez",0,0.0,Not Returned,15520.0
O000110,2025-04-29,C00065,P0057,Mobile App,4,13989,55956,2025,4,April,Tuesday,2,Teresa Friedman,Male,41,Delhi,Gold,Task Sport,Sports,Sony,13989,Diaz-Murray,0,0.0,Not Returned,55956.0
O000111,2025-01-22,C00685,P0095,Store,2,13438,26876,2025,1,January,Wednesday,1,Randy Mcbride,Male,54,Bangalore,Gold,Scene Electronic,Electronics,Zara,13438,Munoz Group,1,13438.0,Returned,13438.0
O000112,2025-07-18,C00481,P0133,Marketplace,3,8480,25440,2025,7,July,Friday,3,Julie Ochoa,Female,51,Hyderabad,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,0,0.0,Not Returned,25440.0
O000113,2025-11-29,C00332,P0012,Online,1,12709,12709,2025,11,November,Saturday,4,Mary Garcia,Male,36,Delhi,Silver,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,0,0.0,Not Returned,12709.0
O000114,2025-11-21,C00850,P0181,Mobile App,5,5178,25890,2025,11,November,Friday,4,Randy Reid,Female,27,Kolkata,Gold,Area Beaut,Beauty,Nike,5178,Anderson Group,0,0.0,Not Returned,25890.0
O000115,2025-10-24,C00558,P0190,Store,3,600,1800,2025,10,October,Friday,4,Elizabeth Warner,Male,32,Mumbai,Platinum,Behind Clothin,Clothing,Samsung,600,Scott PLC,0,0.0,Not Returned,1800.0
O000116,2025-07-07,C00602,P0097,Online,4,1728,6912,2025,7,July,Monday,3,Thomas Porter,Male,48,Mumbai,Silver,Give Sport,Sports,Nike,1728,Henderson and Sons,1,1728.0,Returned,5184.0
O000117,2025-07-12,C00997,P0133,Store,3,8480,25440,2025,7,July,Saturday,3,Thomas Elliott,Female,38,Delhi,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,0,0.0,Not Returned,25440.0
O000118,2025-06-30,C00837,P0133,Mobile App,4,8480,33920,2025,6,June,Monday,2,William Roberts,Female,40,Chennai,Gold,Fight Sport,Sports,Sony,8480,Bender-Hunter,0,0.0,Not Returned,33920.0
